央视卫视HD,#genre#
CCTV1-综合HD, http://218.3.138.25:9901/tsfile/live/1000_1.m3u8
CCTV1-综合HD, http://221.226.4.10:9901/tsfile/live/0001_1.m3u8
CCTV1-综合HD, http://49.87.154.246:9901/tsfile/live/0001_1.m3u8
CCTV2-财经HD, http://218.3.138.25:9901/tsfile/live/1001_1.m3u8
CCTV2-财经HD, http://221.226.4.10:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺HD, http://218.3.138.25:9901/tsfile/live/1002_1.m3u8
CCTV4-中文国际HD, http://218.3.138.25:9901/tsfile/live/1003_1.m3u8
CCTV4-中文国际HD, http://221.226.4.10:9901/tsfile/live/0004_1.m3u8
CCTV5-体育HD, http://218.3.138.25:9901/tsfile/live/1004_1.m3u8
CCTV5-体育HD, http://221.226.4.10:9901/tsfile/live/0005_1.m3u8
CCTV6-电影HD, http://218.3.138.25:9901/tsfile/live/1005_1.m3u8
CCTV7-国防军事HD, http://218.3.138.25:9901/tsfile/live/1006_1.m3u8
CCTV8-电视剧HD, http://218.3.138.25:9901/tsfile/live/1007_1.m3u8
CCTV9-纪录HD, http://218.3.138.25:9901/tsfile/live/1008_1.m3u8
CCTV9-纪录HD, http://221.226.4.10:9901/tsfile/live/0009_1.m3u8
CCTV10-科教HD, http://218.3.138.25:9901/tsfile/live/1009_1.m3u8
CCTV10-科教HD, http://221.226.4.10:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲HD, http://218.3.138.25:9901/tsfile/live/1010_1.m3u8
CCTV12-社会与法HD, http://218.3.138.25:9901/tsfile/live/1011_1.m3u8
CCTV12-社会与法HD, http://221.226.4.10:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻HD, http://218.3.138.25:9901/tsfile/live/1012_1.m3u8
CCTV14-少儿HD, http://218.3.138.25:9901/tsfile/live/1013_1.m3u8
CCTV14-少儿HD, http://221.226.4.10:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐HD, http://218.3.138.25:9901/tsfile/live/1014_1.m3u8
CCTV16-奥林匹克HD, http://218.3.138.25:9901/tsfile/live/1015_1.m3u8
CCTV17-农业农村HD, http://218.3.138.25:9901/tsfile/live/1016_1.m3u8
CCTV5+体育赛事HD, http://218.3.138.25:9901/tsfile/live/0016_1.m3u8
江苏卫视HD, http://218.3.138.25:9901/tsfile/live/1017_1.m3u8
江苏卫视HD, http://221.226.4.10:9901/tsfile/live/1006_1.m3u8
湖南卫视HD, http://218.3.138.25:9901/tsfile/live/1018_1.m3u8
湖南卫视HD, http://221.226.4.10:9901/tsfile/live/1016_1.m3u8
浙江卫视HD, http://218.3.138.25:9901/tsfile/live/1019_1.m3u8
浙江卫视HD, http://221.226.4.10:9901/tsfile/live/1018_1.m3u8
广东卫视HD, http://221.226.4.10:9901/tsfile/live/1022_1.m3u8
东方卫视HD, http://218.3.138.25:9901/tsfile/live/1020_1.m3u8
东方卫视HD, http://221.226.4.10:9901/tsfile/live/1013_1.m3u8
北京卫视HD, http://218.3.138.25:9901/tsfile/live/1021_1.m3u8
北京卫视HD, http://221.226.4.10:9901/tsfile/live/1012_1.m3u8
安徽卫视HD, http://218.3.138.25:9901/tsfile/live/1022_1.m3u8
深圳卫视HD, http://218.3.138.25:9901/tsfile/live/1023_1.m3u8
深圳卫视HD, http://221.226.4.10:9901/tsfile/live/1023_1.m3u8
天津卫视HD, http://218.3.138.25:9901/tsfile/live/1024_1.m3u8
天津卫视HD, http://221.226.4.10:9901/tsfile/live/1014_1.m3u8
辽宁卫视HD, http://218.3.138.25:9901/tsfile/live/1025_1.m3u8
辽宁卫视HD, http://221.226.4.10:9901/tsfile/live/1020_1.m3u8
山东卫视HD, http://218.3.138.25:9901/tsfile/live/1026_1.m3u8
山东卫视HD, http://221.226.4.10:9901/tsfile/live/1021_1.m3u8
广西卫视HD, http://221.226.4.10:9901/tsfile/live/1024_1.m3u8
河南卫视HD, http://218.3.138.25:9901/tsfile/live/1027_1.m3u8
重庆卫视HD, http://218.3.138.25:9901/tsfile/live/1028_1.m3u8
重庆卫视HD, http://221.226.4.10:9901/tsfile/live/1015_1.m3u8
东南卫视HD, http://218.3.138.25:9901/tsfile/live/1029_1.m3u8
海南卫视HD, http://221.226.4.10:9901/tsfile/live/1025_1.m3u8
