央卫频道1,#genre#
CCTV1  综合,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265001
CCTV2  财经,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315
CCTV3  综艺,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265003
CCTV4  国际,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004
CCTV5  体育,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265005
CCTV5+ 赛事,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016
CCTV6  电影,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006
CCTV7  军事,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265007
CCTV8  剧场,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265008
CCTV9  记录,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265009
CCTV10 科教,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265010
CCTV11 戏曲,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265011
CCTV12 法律,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265012
CCTV13 新闻,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031108
CCTV14 少儿,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265013
CCTV15 音乐,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265014
CCTV16 奥运,http://www.72444165.xyz:5005/itv/ystenlive/1000000006000233002
CCTV17 农业,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265015
北京卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265027
东方卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265018
江苏卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030
浙江卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265031
湖南卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024
广东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034
深圳卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265028
天津卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265026
安徽卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265025
东南卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265033
河北卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000006000040016
河南卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031119
湖北卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265023
广西卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031118
四川卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119
重庆卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265017
贵州卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000025843
海南卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006211
山东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019
江西卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265032
辽宁卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265022
青海卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000002000013359
云南卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031120
甘肃卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031121
吉林卫视,http://www.72444165.xyz:5005/itv/bestzb/5000000011000031117
黑龙江视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265029

央卫频道2,#genre#
CCTV1  综合,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV2  财经,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV3  综艺,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV4  国际,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV4  欧洲,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV4  美洲,http://ygbh666.cn/aikmigu.php?id=cctv4a
CCTV5  体育,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV5+ 赛事,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV6  电影,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV7  军事,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV8  剧场,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV9  记录,http://ygbh666.cn/aikmigu.php?id=cctv9
CCTV10 科教,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV11 戏曲,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV12 法律,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV13 新闻,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV14 少儿,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV15 音乐,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV17 农业,http://ygbh666.cn/aikmigu.php?id=cctv17
湖南卫视,http://ygbh666.cn/aikmigu.php?id=hunws
发现之旅,http://ygbh666.cn/aikmigu.php?id=fxzl
老故事,http://ygbh666.cn/aikmigu.php?id=lgs
中学生,http://ygbh666.cn/aikmigu.php?id=zxs
深圳卫视,http://wouu.net:9977/udp/239.93.0.182:5140
湖南卫视,http://ygbh666.cn/aikmigu.php?id=hunws
江苏卫视,http://ygbh666.cn/aikmigu.php?id=jsws
东方卫视,http://ygbh666.cn/aikmigu.php?id=dfws
重庆卫视,http://ygbh666.cn/aikmigu.php?id=cqws
湖北卫视,http://ygbh666.cn/aikmigu.php?id=hubws
江西卫视,http://ygbh666.cn/aikmigu.php?id=jxws
湖北卫视,http://ygbh666.cn/aikmigu.php?id=hubws
广东卫视,http://ygbh666.cn/aikmigu.php?id=gdws
大湾区卫视,http://ygbh666.cn/aikmigu.php?id=dwqws
海南卫视,http://ygbh666.cn/aikmigu.php?id=hinws
四川卫视,http://ygbh666.cn/aikmigu.php?id=scws
内蒙古卫视,http://ygbh666.cn/aikmigu.php?id=nmws
宁夏卫视,http://ygbh666.cn/aikmigu.php?id=nxws
甘肃卫视,http://ygbh666.cn/aikmigu.php?id=gsws
山东卫视,http://ygbh666.cn/aikmigu.php?id=sdws
辽宁卫视,http://ygbh666.cn/aikmigu.php?id=lnws
吉林卫视,http://ygbh666.cn/aikmigu.php?id=jlws
青海卫视,http://ygbh666.cn/aikmigu.php?id=qhws
陕西卫视,http://ygbh666.cn/aikmigu.php?id=sxws
新疆卫视,http://ygbh666.cn/aikmigu.php?id=xjws
西藏卫视,http://ygbh666.cn/aikmigu.php?id=xzws





央卫频道3,#genre#
