🕘️更新时间,#genre#
2025-05-26 newtv,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1

TVB武侠,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
家庭剧场,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_877_720P_t10/c54_fast_877_720P_t10.m3u8?d
怀旧年代,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_883_720P_t10/c57_fast_883_720P_t10.m3u8?d
都市生活,http://bscloudcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_878_720P_t10/c56_fast_878_720P_t10.m3u8?d
传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_1052_720P_t10/c54_fast_1052_720P_t10.m3u8?d
警匪悬疑,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c58_fast_880_720P_t10/c58_fast_880_720P_t10.m3u8?d
古装剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_879_720P_t10/c55_fast_879_720P_t10.m3u8?d
抗战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_884_720P_t10/c54_fast_884_720P_t10.m3u8?d
谍战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_882_720P_t10/c57_fast_882_720P_t10.m3u8?d
欢乐剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_951_720P_t10/c56_fast_951_720P_t10.m3u8?d
经典老剧,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_1051_720P_t10/c55_fast_1051_720P_t10.m3u8?d
乡村剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1050_720P_t10/c59_fast_1050_720P_t10.m3u8?d
电影大片,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_738_720P_t10/c57_fast_738_720P_t10.m3u8?d
爆笑综艺,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_954_720P_t10/c57_fast_954_720P_t10.m3u8?d
智勇闯关,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1027_720P_t10/c60_fast_1027_720P_t10.m3u8?d
相声小品,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1044_720P_t10/c59_fast_1044_720P_t10.m3u8?d
中国通史,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d
世界历史,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1026_720P_t10/c60_fast_1026_720P_t10.m3u8?d
传奇故事,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1037_720P_t10/c60_fast_1037_720P_t10.m3u8?d



「咪咕」,#genre#


CCTV1,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1
CCTV2,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv2
CCTV3,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv3
CCTV4,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4
CCTV4美洲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4a
CCTV4欧洲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv4o
CCTV5,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv5
CCTV5+,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv5p
CCTV6,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv6
CCTV7,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv7
CCTV8,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv8
CCTV9,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv9
CCTV10,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv10
CCTV11,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv11
CCTV12,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv12
CCTV13,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv13
CCTV14,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv14
CCTV15,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv15
CCTV17,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv17
CCTV发现之旅,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=fxzl
CCTV老故事,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lgs
CCTV中学生,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=zxs
CGTN,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtn
CGTN纪录,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtnjl
CCTV西班牙语,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtne
CCTV法语,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtnf
CCTV阿拉伯语,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtna
CCTV俄语,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cgtnr
东方卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dfws
重庆卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cqws
吉林卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jlws
辽宁卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lnws
内蒙古卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=nmws
宁夏卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=nxws
甘肃卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gsws
青海卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=qhws
陕西卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sxws
山东卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sdws
河南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hnws
湖北卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hubws
湖南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hunws
江西卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jxws
江苏卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsws
东南卫视x,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dnws
海峡卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hxws
广东卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gdws
大湾区卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dwqws
广西卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gxws
云南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ynws
贵州卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gzws
新疆卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xjws
西藏卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xzws
海南卫视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hinws
四海钓鱼,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=shdy
CHC动作电影,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=chcdzdy
CHC家庭影院,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=chcjtdy
东方影视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dfys
上海新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=shxwzh
上海第一财经,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=dycj
上视纪实人文,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=shjsrw
上海外语,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=shics
法治天地,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=fztd
劲爆体育,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jbty
魅力足球,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=mlzq
乐游,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ly
欢笑剧场,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=hxjc
七彩戏剧,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=qcxj
游戏风云,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=yxfy
临洮电视台,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lttv
江苏城市,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jscs
江苏综艺,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jszy
江苏影视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsys
江苏公共新闻,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsggxw
江苏国际,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsgj
江苏教育,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsjy
江苏体育休闲,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jstyxx
优漫卡通,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ymkt
南京新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njxwzh
南京教科,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njkj
南京十八,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=njsb
淮安新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=haxwzh
连云港新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=lygxwzh
苏州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=szxwzh
泰州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=tzxwzh
宿迁新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sqxwzh
徐州新闻综合,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xzxwzh
广东影视,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gdys
高清大片,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=gqdp
经典深圳旁边电影,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jdxgdy
军事迷必看大片,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=jsdp
历届春晚回顾,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ljcwhg
咪咕24小时体育台,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=mg24hty
玫瑰轮播台,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=mglbt
欧洲足球风云,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ozzqfy
全民乒乓,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=qmpp
热剧联播,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=rjlb
赛事最经典,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=sszjd
体坛名栏汇,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=ttmlh
新片放映厅,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xpfyt
熊猫1,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm1
熊猫2,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm2
熊猫3,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm3
熊猫4,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm4
熊猫5,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm5
熊猫6,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm6
熊猫7,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm7
熊猫8,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=xm8
CCTV1,http://nctv.top/IDOEPpiryt/migu.php?id=cctv1
CCTV2,http://nctv.top/IDOEPpiryt/migu.php?id=cctv2
CCTV3,http://nctv.top/IDOEPpiryt/migu.php?id=cctv3
CCTV4,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4
CCTV4欧洲,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4o
CCTV6,http://nctv.top/IDOEPpiryt/migu.php?id=cctv6
CCTV7,http://nctv.top/IDOEPpiryt/migu.php?id=cctv7
CCTV8,http://nctv.top/IDOEPpiryt/migu.php?id=cctv8
CCTV9,http://nctv.top/IDOEPpiryt/migu.php?id=cctv9
CCTV10,http://nctv.top/IDOEPpiryt/migu.php?id=cctv10
CCTV12,http://nctv.top/IDOEPpiryt/migu.php?id=cctv12
CCTV13,http://nctv.top/IDOEPpiryt/migu.php?id=cctv13
CCTV14,http://nctv.top/IDOEPpiryt/migu.php?id=cctv14
CCTV15,http://nctv.top/IDOEPpiryt/migu.php?id=cctv15
CCTV17,http://nctv.top/IDOEPpiryt/migu.php?id=cctv17
江苏卫视,http://nctv.top/IDOEPpiryt/migu.php?id=jsws
江西卫视,http://nctv.top/IDOEPpiryt/migu.php?id=jxws
河南卫视,http://nctv.top/IDOEPpiryt/migu.php?id=hnws
陕西卫视,http://nctv.top/IDOEPpiryt/migu.php?id=sxws
大湾区卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dwqws
东南卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dnws
南京科教,http://nctv.top/IDOEPpiryt/migu.php?id=njkj
南京十八频道,http://nctv.top/IDOEPpiryt/migu.php?id=njsb
江苏城市频道,http://nctv.top/IDOEPpiryt/migu.php?id=jscs
江苏国际,http://nctv.top/IDOEPpiryt/migu.php?id=jsgj
江苏教育,http://nctv.top/IDOEPpiryt/migu.php?id=jsjy
江苏影视,http://nctv.top/IDOEPpiryt/migu.php?id=jsys
江苏综艺,http://nctv.top/IDOEPpiryt/migu.php?id=jszy
老故事,http://nctv.top/IDOEPpiryt/migu.php?id=lgs
发现之旅,http://nctv.top/IDOEPpiryt/migu.php?id=fxzl
中学生,http://nctv.top/IDOEPpiryt/migu.php?id=zxs





 
「联通央卫」,#genre#
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV2,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV4,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV6,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV7,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV9,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV10,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV11标清,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV12,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV13,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV15标清,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV5+,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8
浙江卫视,https://60.191.56.186:8888/hls/17/index.m3u8
山东卫视,https://60.191.56.186:8888/hls/46/index.m3u8
钱江,https://60.191.56.186:8888/hls/18/index.m3u8
浙江经济生活,https://60.191.56.186:8888/hls/19/index.m3u8
之江记录,https://60.191.56.186:8888/hls/20/index.m3u8
浙江新闻,https://60.191.56.186:8888/hls/21/index.m3u8
浙江6频道,https://60.191.56.186:8888/hls/22/index.m3u8
浙江少儿,https://60.191.56.186:8888/hls/23/index.m3u8
综合HTV1,https://60.191.56.186:8888/hls/25/index.m3u8
明珠HTV2,https://60.191.56.186:8888/hls/26/index.m3u8
生活HTV3,https://60.191.56.186:8888/hls/27/index.m3u8
影视HTV4,https://60.191.56.186:8888/hls/28/index.m3u8
青少体育HTV5,https://60.191.56.186:8888/hls/29/index.m3u8
东方卫视,https://60.191.56.186:8888/hls/30/index.m3u8
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8
安徽卫视,https://60.191.56.186:8888/hls/32/index.m3u8
江苏卫视,https://60.191.56.186:8888/hls/33/index.m3u8
北京卫视,https://60.191.56.186:8888/hls/34/index.m3u8
重庆卫视,https://60.191.56.186:8888/hls/35/index.m3u8
贵州卫视,https://60.191.56.186:8888/hls/36/index.m3u8
四川卫视,https://60.191.56.186:8888/hls/37/index.m3u8
广东卫视,https://60.191.56.186:8888/hls/38/index.m3u8
天津卫视,https://60.191.56.186:8888/hls/41/index.m3u8
河南卫视,https://60.191.56.186:8888/hls/57/index.m3u8
河北卫视,https://60.191.56.186:8888/hls/43/index.m3u8
黑龙江卫视,https://60.191.56.186:8888/hls/44/index.m3u8
东南卫视,https://60.191.56.186:8888/hls/47/index.m3u8
湖北卫视,https://60.191.56.186:8888/hls/48/index.m3u8
辽宁卫视,https://60.191.56.186:8888/hls/49/index.m3u8
江西卫视,https://60.191.56.186:8888/hls/50/index.m3u8
CCTV1标清,https://60.191.56.186:8888/hls/40/index.m3u8
青海卫视标清,https://60.191.56.186:8888/hls/51/index.m3u8
陕西卫视标清,https://60.191.56.186:8888/hls/53/index.m3u8
海南卫视标清,https://60.191.56.186:8888/hls/45/index.m3u8
山西卫视标清,https://60.191.56.186:8888/hls/55/index.m3u8
云南卫视标清,https://60.191.56.186:8888/hls/42/index.m3u8
吉林卫视标清,https://60.191.56.186:8888/hls/39/index.m3u8
宁夏卫视标清,https://60.191.56.186:8888/hls/56/index.m3u8
广西卫视标清,https://60.191.56.186:8888/hls/58/index.m3u8
金鹰卡通标清,https://60.191.56.186:8888/hls/59/index.m3u8


CCTV1,https://116.131.188.198:5550/hls/1/index.m3u8
CCTV2,https://116.131.188.198:5550/hls/2/index.m3u8
CCTV3,https://116.131.188.198:5550/hls/3/index.m3u8
CCTV4,https://116.131.188.198:5550/hls/4/index.m3u8
CCTV5,https://116.131.188.198:5550/hls/5/index.m3u8
CCTV6,https://116.131.188.198:5550/hls/6/index.m3u8
CCTV7,https://116.131.188.198:5550/hls/7/index.m3u8
CCTV8,https://116.131.188.198:5550/hls/8/index.m3u8
CCTV9,https://116.131.188.198:5550/hls/9/index.m3u8
CCTV10,https://116.131.188.198:5550/hls/10/index.m3u8
CCTV11标清,https://116.131.188.198:5550/hls/11/index.m3u8
CCTV12,https://116.131.188.198:5550/hls/12/index.m3u8
CCTV13,https://116.131.188.198:5550/hls/13/index.m3u8
CCTV14,https://116.131.188.198:5550/hls/14/index.m3u8
CCTV15标清,https://116.131.188.198:5550/hls/15/index.m3u8
CGTN,https://116.131.188.198:5550/hls/16/index.m3u8
CCTV5+,https://116.131.188.198:5550/hls/17/index.m3u8
河北卫视,https://116.131.188.198:5550/hls/18/index.m3u8
邢台新闻综合,https://116.131.188.198:5550/hls/19/index.m3u8
湖南卫视,https://116.131.188.198:5550/hls/20/index.m3u8
浙江卫视,https://116.131.188.198:5550/hls/21/index.m3u8
江苏卫视,https://116.131.188.198:5550/hls/22/index.m3u8
北京卫视,https://116.131.188.198:5550/hls/23/index.m3u8
东方卫视,https://116.131.188.198:5550/hls/24/index.m3u8
天津卫视,https://116.131.188.198:5550/hls/25/index.m3u8
深圳卫视,https://116.131.188.198:5550/hls/26/index.m3u8
山东卫视,https://116.131.188.198:5550/hls/27/index.m3u8
广东卫视,https://116.131.188.198:5550/hls/28/index.m3u8
黑龙江卫视,https://116.131.188.198:5550/hls/29/index.m3u8
辽宁卫视,https://116.131.188.198:5550/hls/30/index.m3u8
安徽卫视,https://116.131.188.198:5550/hls/31/index.m3u8
湖北卫视,https://116.131.188.198:5550/hls/32/index.m3u8
四川卫视,https://116.131.188.198:5550/hls/33/index.m3u8
重庆卫视,https://116.131.188.198:5550/hls/34/index.m3u8
河南卫视,https://116.131.188.198:5550/hls/35/index.m3u8
金鹰纪实,https://116.131.188.198:5550/hls/36/index.m3u8
贵州卫视,https://116.131.188.198:5550/hls/39/index.m3u8
江西卫视,https://116.131.188.198:5550/hls/40/index.m3u8
东南卫视,https://116.131.188.198:5550/hls/41/index.m3u8
吉林卫视,https://116.131.188.198:5550/hls/42/index.m3u8
河北都市,https://116.131.188.198:5550/hls/43/index.m3u8
CETV1,https://116.131.188.198:5550/hls/38/index.m3u8
北京卫视,http://114.254.38.237:8888/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.38.237:8888/rtp/239.3.1.159:8000
北京影视频道,http://114.254.38.237:8888/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.38.237:8888/rtp/239.3.1.242:8000
北京财经频道,http://114.254.38.237:8888/rtp/239.3.1.116:8000
北京生活频道,http://114.254.38.237:8888/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.38.237:8888/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.38.237:8888/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.38.237:8888/rtp/239.3.1.243:8000
北京国际频道,http://114.254.38.237:8888/rtp/239.3.1.235:8000

CCTV4K超高清,http://114.254.38.237:8888/udp/239.3.1.245:2000
北京卫视4K,http://114.254.38.237:8888/udp/239.3.1.22:8001
湖南卫视,http://114.254.38.237:8888/rtp/239.3.1.132:8012
东方卫视,http://114.254.38.237:8888/rtp/239.3.1.136:8032
浙江卫视,http://114.254.38.237:8888/rtp/239.3.1.137:8036
江苏卫视,http://114.254.38.237:8888/rtp/239.3.1.135:8028
深圳卫视,http://114.254.38.237:8888/rtp/239.3.1.134:8020
广东卫视,http://114.254.38.237:8888/rtp/239.3.1.142:8048
安徽卫视,http://114.254.38.237:8888/rtp/239.3.1.211:8064
天津卫视,http://114.254.38.237:8888/rtp/239.3.1.141:1234
重庆卫视,http://114.254.38.237:8888/rtp/239.3.1.122:8160
山东卫视,http://114.254.38.237:8888/rtp/239.3.1.209:8052
黑龙江卫视,http://114.254.38.237:8888/rtp/239.3.1.133:8016
河北卫视,http://114.254.38.237:8888/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.38.237:8888/rtp/239.3.1.210:8056
湖北卫视,http://114.254.38.237:8888/rtp/239.3.1.138:8044
吉林卫视,http://114.254.38.237:8888/rtp/239.3.1.240:8172
贵州卫视,http://114.254.38.237:8888/rtp/239.3.1.149:8076
东南卫视,http://114.254.38.237:8888/rtp/239.3.1.156:8148
江西卫视,http://114.254.38.237:8888/rtp/239.3.1.123:8164
华数爱上4K,http://114.254.38.237:8888/rtp/239.3.1.236:2000
北京IPTV4K超清,http://114.254.38.237:8888/rtp/239.3.1.249:8001
北京IPTV淘电影,http://114.254.38.237:8888/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://114.254.38.237:8888/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://114.254.38.237:8888/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://114.254.38.237:8888/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://114.254.38.237:8888/rtp/239.3.1.102:8001
CCTV-4中文国际 欧洲,http://114.254.38.237:8888/rtp/239.3.1.213:4220
CCTV-4中文国际 美洲,http://114.254.38.237:8888/rtp/239.3.1.214:4220
CGTN 新闻,http://114.254.38.237:8888/rtp/239.3.1.215:4220
CGTN 纪录,http://114.254.38.237:8888/rtp/239.3.1.216:4220
CGTN 西班牙语,http://114.254.38.237:8888/rtp/239.3.1.217:4220
CGTN 法语,http://114.254.38.237:8888/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://114.254.38.237:8888/rtp/239.3.1.219:4220
CGTN 俄语,http://114.254.38.237:8888/rtp/239.3.1.220:4220
CETV1,http://114.254.38.237:8888/rtp/239.3.1.57:8152
中国交通,http://114.254.38.237:8888/rtp/239.3.1.188:8001
朝阳融媒,http://114.254.38.237:8888/rtp/239.3.1.163:8001
通州融媒,http://114.254.38.237:8888/rtp/239.3.1.221:8001
房山电视台,http://114.254.38.237:8888/rtp/239.3.1.96:8001
密云电视台,http://114.254.38.237:8888/rtp/239.3.1.154:8001
延庆电视台,http://114.254.38.237:8888/rtp/239.3.1.187:8001
睛彩竞技,http://114.254.38.237:8888/rtp/239.3.1.125:8001
睛彩篮球,http://114.254.38.237:8888/rtp/239.3.1.126:8001
睛彩羽毛球,http://114.254.38.237:8888/rtp/239.3.1.127:8001
睛彩广场舞,http://114.254.38.237:8888/rtp/239.3.1.128:8001
上海纪实人文,http://114.254.38.237:8888/rtp/239.3.1.212:8060
湖南金鹰纪实,http://114.254.38.237:8888/rtp/239.3.1.58:8156
湖南茶频道,http://114.254.38.237:8888/rtp/239.3.1.165:8001
湖南快乐垂钓,http://114.254.38.237:8888/rtp/239.3.1.164:8001



「电信」,#genre#
广东卫视,http://113.104.186.16:7088/udp/239.77.1.19:5146
广东卫视,http://113.104.186.16:7088/udp/239.77.1.152:5146
广东卫视,http://113.104.186.16:7088/udp/239.77.0.166:5146
广东珠江频道,http://113.104.186.16:7088/udp/239.77.0.1:5146
广东珠江频道,http://113.104.186.16:7088/udp/239.77.0.114:5146
广东新闻频道,http://113.104.186.16:7088/udp/239.77.0.173:5146
广东民生频道,http://113.104.186.16:7088/udp/239.77.0.225:5146
广东体育频道,http://113.104.186.16:7088/udp/239.77.0.112:5146
广东体育频道,http://113.104.186.16:7088/udp/239.77.0.168:5146
广东经济科教,http://113.104.186.16:7088/udp/239.77.0.85:5146
广东经济科教,http://113.104.186.16:7088/udp/239.77.0.167:5146
广东大湾区卫视,http://113.104.186.16:7088/udp/239.77.0.215:5146
广东影视频道,http://113.104.186.16:7088/udp/239.77.0.217:5146
广东少儿频道,http://113.104.186.16:7088/udp/239.77.0.250:5146
广东嘉佳卡通,http://113.104.186.16:7088/udp/239.77.0.179:5146
广东综艺4K,http://113.104.186.16:7088/udp/239.77.0.252:5146
广东4K超高清,http://113.104.186.16:7088/udp/239.77.0.245:5146
广东4K超高清,http://113.104.186.16:7088/udp/239.77.1.237:5146
广东4K超高清,http://113.104.186.16:7088/udp/239.77.0.244:5146
广州综合频道,http://113.104.186.16:7088/udp/239.253.43.71:5146
广州新闻频道,http://113.104.186.16:7088/udp/239.253.43.72:5146
广州影视频道,http://113.104.186.16:7088/udp/239.253.43.73:5146
广州法治频道,http://113.104.186.16:7088/udp/239.253.43.74:5146
南国都市4K,http://113.104.186.16:7088/udp/239.253.43.99:5146
深圳卫视,http://113.104.186.16:7088/udp/239.77.1.3:5146
