刘大夫2025/05/13


央视频道,#genre#
CCTV-1 综合,http://14.112.83.48:35455/bptv/10000100000000050000000003864351.m3u8
CCTV-2 财经,http://14.112.83.48:35455/bptv/10000100000000050000000003870745.m3u8
CCTV-3 综艺,http://14.112.83.48:35455/bptv/10000100000000050000000003870746.m3u8
CCTV-4 中文国际,http://14.112.83.48:35455/bptv/10000100000000050000000003870747.m3u8
CCTV-5 体育,http://14.112.83.48:35455/bptv/10000100000000050000000003870748.m3u8
CCTV-5+ 体育赛事,http://14.112.83.48:35455/bptv/10000100000000050000000003870759.m3u8
CCTV-6 电影,http://14.112.83.48:35455/bptv/10000100000000050000000003870749.m3u8
CCTV-7 国防军事,http://14.112.83.48:35455/bptv/10000100000000050000000003870750.m3u8
CCTV-8 电视剧,http://14.112.83.48:35455/bptv/10000100000000050000000003870838.m3u8
CCTV-9 纪录,http://14.112.83.48:35455/bptv/10000100000000050000000003870752.m3u8
CCTV-10 科教,http://14.112.83.48:35455/bptv/10000100000000050000000003870753.m3u8
CCTV-11 戏曲,http://14.112.83.48:35455/bptv/10000100000000050000000003870754.m3u8
CCTV-12 社会与法,http://14.112.83.48:35455/bptv/10000100000000050000000003870755.m3u8
CCTV-13 新闻,http://14.112.83.48:35455/bptv/10000100000000050000000004796248.m3u8
CCTV-14 少儿,http://14.112.83.48:35455/bptv/10000100000000050000000003870756.m3u8
CCTV-15 音乐,http://14.112.83.48:35455/bptv/10000100000000050000000003870757.m3u8
CCTV-16 奥林匹克,http://14.112.83.48:35455/bptv/10000100000000050000000004972604.m3u8
CCTV-17 农业农村,http://14.112.83.48:35455/bptv/10000100000000050000000003870758.m3u8
CCTV-4 中文国际 欧洲,https://migu.188766.xyz/订阅后播放/cctv4o
CCTV-4 中文国际 美洲,https://migu.188766.xyz/订阅后播放/cctv4m
卫视频道,#genre#
湖南卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873458.m3u8
浙江卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873464.m3u8
江苏卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873462.m3u8
北京卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003870776.m3u8
广东卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873459.m3u8
深圳卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873474.m3u8
东南卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873473.m3u8
山东卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873467.m3u8
安徽卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873469.m3u8
天津卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873466.m3u8
湖北卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873465.m3u8
辽宁卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873468.m3u8
江西卫视,http://14.112.83.48:35455/bptv/10000100000000050000000004796511.m3u8
河北卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873460.m3u8
河北卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887382.m3u8
黑龙江卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873470.m3u8
重庆卫视,http://14.112.83.48:35455/bptv/10000100000000050000000004796458.m3u8
贵州卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873471.m3u8
吉林卫视,http://14.112.83.48:35455/bptv/10000100000000050000000004972569.m3u8
四川卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887274.m3u8
海南卫视,http://14.112.83.48:35455/bptv/10000100000000050000000004796877.m3u8
河南卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887270.m3u8
广西卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887394.m3u8
山西卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887413.m3u8
云南卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887453.m3u8
陕西卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887404.m3u8
内蒙古卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887427.m3u8
甘肃卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887450.m3u8
宁夏卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887433.m3u8
青海卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887430.m3u8
新疆卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887448.m3u8
西藏卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887434.m3u8
三沙卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887452.m3u8
兵团卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887456.m3u8
厦门卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003887454.m3u8
数字频道,#genre#
BTV-重温经典,http://14.112.83.48:35455/bptv/10000100000000050000000003887494.m3u8
重温经典,https://migu.188766.xyz/请使用订阅链接观看/重温经典
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
CHC家庭影院,https://migu.188766.xyz/请使用订阅链接观看/CHC家庭影院
CHC动作电影,https://migu.188766.xyz/请使用订阅链接观看/CHC动作电影
东方影视,https://migu.188766.xyz/订阅后播放/shys
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
卡酷少儿,http://14.112.83.48:35455/bptv/10000100000000050000000003904597.m3u8
金鹰卡通,http://14.112.83.48:35455/bptv/10000100000000050000000004796942.m3u8
嘉佳卡通,http://14.112.83.48:35455/bptv/10000100000000050000000003887459.m3u8
萌宠TV,http://14.112.83.48:35455/bptv/10000100000000050000000003887495.m3u8
淘BABY,http://14.112.83.48:35455/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://14.112.83.48:35455/bptv/10000100000000050000000003887497.m3u8
淘电影,http://14.112.83.48:35455/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://14.112.83.48:35455/bptv/10000100000000050000000003887499.m3u8
北京体育休闲,http://14.112.83.48:35455/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://14.112.83.48:35455/bptv/10000100000000050000000003870780.m3u8
NBA经典,https://migu.188766.xyz/订阅后播放/nba
咪咕24小时体育台,https://migu.188766.xyz/订阅后播放/mgty
CETV-1,https://migu.188766.xyz/订阅后播放/cetv1
CETV-2,https://migu.188766.xyz/订阅后播放/cetv2
CETV-4,https://migu.188766.xyz/订阅后播放/cetv4
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
4K频道,#genre#
北京IPTV4K,http://14.112.83.48:35455/bptv/10000100000000050000000003887500.m3u8
北京卫视4K,https://migu.188766.xyz/请使用订阅链接观看/北京卫视
咪咕体育-1,http://14.112.83.48:35455/itv/3000000010000005180.m3u8
咪咕国际4K-2,http://14.112.83.48:35455/itv/3000000010000015686.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
北京体育休闲-4K-HLG,http://14.112.83.48:35455/bptv/10000100000000050000000004270524.m3u8
北京体育休闲-4K,http://14.112.83.48:35455/bptv/10000100000000050000000004270525.m3u8
虎牙影视,#genre#
电影_星爷,http://14.112.83.48:35455/huya/11342412
电影_英叔,http://14.112.83.48:35455/huya/11342421
电影_发哥,http://14.112.83.48:35455/huya/11342387
电影_成龙,http://14.112.83.48:35455/huya/11342386
电影_王晶,http://14.112.83.48:35455/huya/11602058
电影_沈腾,http://14.112.83.48:35455/huya/11601968
电影_黄渤,http://14.112.83.48:35455/huya/11352876
电影_强森,http://14.112.83.48:35455/huya/21059581
电影_漫威,http://14.112.83.48:35455/huya/11602034
电影_宇宙,http://14.112.83.48:35455/huya/11342428
电影_怪兽,http://14.112.83.48:35455/huya/21059577
电影_贺岁,http://14.112.83.48:35455/huya/11601971
电影_玄幻,http://14.112.83.48:35455/huya/11342414
电影_谍战,http://14.112.83.48:35455/huya/21059585
电影_战争,http://14.112.83.48:35455/huya/21059592
电影_喜剧,http://14.112.83.48:35455/huya/11352877
电影_港片,http://14.112.83.48:35455/huya/11602043
电影_国产,http://14.112.83.48:35455/huya/11352973
电影_周星星,http://14.112.83.48:35455/huya/11336587
电影_李连杰,http://14.112.83.48:35455/huya/11342390
电影_洪金宝,http://14.112.83.48:35455/huya/11279251
电影_梁家辉,http://14.112.83.48:35455/huya/11342429
电影_许冠英,http://14.112.83.48:35455/huya/11601972
电影_刘德华,http://14.112.83.48:35455/huya/11342424
电影_斯坦森,http://14.112.83.48:35455/huya/21059588
电影_蜘蛛侠,http://14.112.83.48:35455/huya/21059599
电影_贺岁片,http://14.112.83.48:35455/huya/11601986
电影_功夫片,http://14.112.83.48:35455/huya/11352941
电影_黑帮片,http://14.112.83.48:35455/huya/11336719
电影_丧尸片,http://14.112.83.48:35455/huya/21059578
电影_灾难片,http://14.112.83.48:35455/huya/11602075
电影_谍战片,http://14.112.83.48:35455/huya/21059587
电影_战争片,http://14.112.83.48:35455/huya/21059574
电影_犯罪片,http://14.112.83.48:35455/huya/11352974
电影_古装片,http://14.112.83.48:35455/huya/11336590
电影_高分动作,http://14.112.83.48:35455/huya/11352884
电影_动作电影,http://14.112.83.48:35455/huya/11602077
电影_搞笑喜剧,http://14.112.83.48:35455/huya/11342423
电影_喜剧专场,http://14.112.83.48:35455/huya/11602044
电影_欢笑影院,http://14.112.83.48:35455/huya/11352894
电影_不挤影院,http://14.112.83.48:35455/huya/11352897
电影_国产悬疑,http://14.112.83.48:35455/huya/11342395
电影_快意江湖,http://14.112.83.48:35455/huya/11342435
电影_黑帮斗争,http://14.112.83.48:35455/huya/11342419
电影_古墓系列,http://14.112.83.48:35455/huya/11352913
电影_嫣然影厅,http://14.112.83.48:35455/huya/11601977
电影_女神系列,http://14.112.83.48:35455/huya/11336571
