央视音频,#genre#
CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
CCTV3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV4,https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8
CCTV5,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
CCTV7,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV8,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV11,https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8
CCTV12,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
CCTV13,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
CCTV14,https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8
CCTV15,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
CCTV16,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8
CCTV17,https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8
CCTV4欧洲,https://piccpndali.v.myalicdn.com/audio/cctveurope_2.m3u8
CCTV4美洲,https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8

电台音频,#genre#
香港.第一台,https://rthkradio1-live.akamaized.net/hls/live/2035313/radio1/master.m3u8
香港.第二台,https://rthkradio2-live.akamaized.net/hls/live/2040078/radio2/master.m3u8
香港.第三台,https://rthkradio3-live.akamaized.net/hls/live/2040079/radio3/master.m3u8
香港.第四台,https://rthkradio4-live.akamaized.net/hls/live/2040080/radio4/master.m3u8
香港.第五台,https://rthkradio5-live.akamaized.net/hls/live/2040081/radio5/master.m3u8
香港.普通话台,https://rthkradiopth-live.akamaized.net/hls/live/2040082/radiopth/master.m3u8
香港.普通话台,https://rthkradiopth-live.akamaized.net/hls/live/2040082/radiopth/master.m3u8
华语环球,https://sk.cri.cn/hyhq.m3u8
环球资讯,https://sk.cri.cn/905.m3u8

肇庆高新区广播,https://lhttp-hw.qtfm.cn/live/20500213/64k.mp3
番禺电台畅快1017,https://lhttp-hw.qtfm.cn/live/20212427/64k.mp3
怀集音乐之声,http://cnlive.cnr.cn/hls/hjyyzs.m3u8
广东城市之声,https://lhttp-hw.qtfm.cn/live/469/64k.mp3
广东广播电视台股市广播,https://lhttp-hw.qtfm.cn/live/4847/64k.mp3
广东广播电视台文体广播,https://lhttp-hw.qtfm.cn/live/471/64k.mp3
广东广播电视台珠江之声,https://lhttp-hw.qtfm.cn/live/470/64k.mp3
广东南方生活广播,https://lhttp-hw.qtfm.cn/live/468/64k.mp3
广东新闻广播,https://lhttp-hw.qtfm.cn/live/1254/64k.mp3
广东音乐之声,https://lhttp-hw.qtfm.cn/live/1260/64k.mp3
广东珠江经济电台,https://lhttp-hw.qtfm.cn/live/1259/64k.mp3
广州MYFM 88.0,https://lhttp-hw.qtfm.cn/live/20194/64k.mp3
广州交通广播,https://lhttp-hw.qtfm.cn/live/4955/64k.mp3
广州汽车音乐电台,https://lhttp-hw.qtfm.cn/live/20192/64k.mp3
广州新闻资讯广播,https://lhttp-hw.qtfm.cn/live/4848/64k.mp3
广州羊城交通台,https://lhttp-hw.qtfm.cn/live/1262/64k.mp3
湖南交通广播,https://satellitepull.cnr.cn/live/wx32hunjtgb/playlist.m3u8
湖南金鹰之声,https://satellitepull.cnr.cn/live/wx32955/playlist.m3u8
湖南经济广播,https://satellitepull.cnr.cn/live/wx32hunjjgb/playlist.m3u8
湖南年代音乐台,https://satellitepull.cnr.cn/live/wx32hunlygb/playlist.m3u8
湖南文艺广播,https://satellitepull.cnr.cn/live/wx32hunwygb/playlist.m3u8
湖南潇湘之声,https://satellitepull.cnr.cn/live/wx32hunyygb/playlist.m3u8
湖南新闻广播,https://satellitepull.cnr.cn/live/wx32hunxwgb/playlist.m3u8


CNR1中国之声,https://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR2经济之声,https://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR3音乐之声,https://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR4经典音乐广播,https://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR5台海之声,https://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR6神州之声,https://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR7大湾区之声,https://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR8民族之声,https://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR9文艺之声,https://ngcdn009.cnr.cn/live/wyzs/index.m3u8
CNR10老年之声,https://ngcdn010.cnr.cn/live/lnzs/index.m3u8
CNR11藏语广播,https://ngcdn011.cnr.cn/live/zygb/index.m3u8
CNR12阅读之声,https://ngcdn012.cnr.cn/live/ylgb/index.m3u8
CNR13维语广播,https://ngcdn013.cnr.cn/live/wygb/index.m3u8
CNR14⾹港之声,https://ngcdn014.cnr.cn/live/xgzs/index.m3u8
CNR15中国交通广播,https://ngcdn001.cnr.cn/live/gsgljtgb/index.m3u8
CNR16中国乡村之声,https://ngcdn016.cnr.cn/live/xczs/index.m3u8
CRI华语环球(CRI Chinese Service),https://sk.cri.cn/hyhq.m3u8
环球资讯广播(CRI News Radio),https://sk.cri.cn/905.m3u8
CRI世界华声(粤客闽潮方言广播 海峡飞虹),https://sk.cri.cn/hxfh.m3u8
CRI EZFM 轻松调频,https://sk.cri.cn/915.m3u8
HITFM 劲曲调频,https://sk.cri.cn/887.m3u8
