//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb

🐼版权误删,#genre#
榴芒电视,https://gitee.com/kdsb/lm/raw/master/ad.mp4

电视直播,#genre#
CCTV1,http://ali.hlspull.yximgs.com/live/bd1b94081e308c6a375063e8aa7b94a5.flv
CCTV1,http://ali.hlspull.yximgs.com/live/d8df0c52a0f277d7989003bc852aa035.flv
CCTV2,http://ali.hlspull.yximgs.com/live/a0b585687dbc8c38ce4b76c752db8b83.flv
CCTV2,http://ali.hlspull.yximgs.com/live/a4f601553dccbe7cf63c321eb2805fe6.flv
CCTV3,http://ali.hlspull.yximgs.com/live/b1f1d2215c2f5b2f44374cdd5b18cce2.flv
CCTV3,http://ali.hlspull.yximgs.com/live/7bcbd1d2a8ee32f187f0df17171fcc4c.flv
CCTV4,http://ali.hlspull.yximgs.com/live/df7f800f491297280671e957b227f897.flv
CCTV4,http://ali.hlspull.yximgs.com/live/ec326f295e76aedc8c56e2cdc3c3b881.flv
CCTV5,http://ali.hlspull.yximgs.com/live/30946d0def4bc265ddd7aec450be1454.flv
CCTV5,http://ali.hlspull.yximgs.com/live/18ff94ae9d75699082b71624a107bca0.flv
CCTV5p,http://ali.hlspull.yximgs.com/live/e49e0300c607f2731f8895e1f2c03838.flv
CCTV5p,http://ali.hlspull.yximgs.com/live/32fe0e7ec142db16cbaa824db1ec1021.flv
CCTV6,http://ali.hlspull.yximgs.com/live/0dbbbbfb95ef2e5e292f5f85267bd0fa.flv
CCTV6,http://ali.hlspull.yximgs.com/live/75199ff4ce5cce3b31152c5f04755a50.flv
CCTV7,http://ali.hlspull.yximgs.com/live/fac662af6bd0db857aa4bed6ad0b19a3.flv
CCTV7,http://ali.hlspull.yximgs.com/live/e1ab603e09232ae430ab20b56e840306.flv
CCTV8,http://ali.hlspull.yximgs.com/live/e4fff4c10a1e6c7ff3f105b1222de98a.flv
CCTV8,http://ali.hlspull.yximgs.com/live/6cc5118bab47d8ff1878282f5c63a6e0.flv
CCTV9,http://ali.hlspull.yximgs.com/live/21bd11b0d7a8bcb30479b002b5302eac.flv
CCTV9,http://ali.hlspull.yximgs.com/live/9b516e5423f9e327092b4dca71c0e767.flv
CCTV10,http://ali.hlspull.yximgs.com/live/e719f8c39c5238b2a746ef46be43666d.flv
CCTV10,http://ali.hlspull.yximgs.com/live/c51df22423caf80c60c1465d1f0be883.flv
CCTV11,http://ali.hlspull.yximgs.com/live/a6ff22e2447fcdff2fd6ee04c11eb3ed.flv
CCTV11,http://ali.hlspull.yximgs.com/live/098a6b19a0b7afac4f2458d1e52dd16a.flv
CCTV12,http://ali.hlspull.yximgs.com/live/2295f7c72b9c982c8b86ad81aef02d8b.flv
CCTV12,http://ali.hlspull.yximgs.com/live/0247b1fc0e2461e422ea54e53fd3afc7.flv
CCTV13,http://ali.hlspull.yximgs.com/live/4d03674c659a0f5a5eca899104bb198f.flv
CCTV13,http://ali.hlspull.yximgs.com/live/c63fdf63b5267a26238d61b3466f2b87.flv
CCTV14,http://ali.hlspull.yximgs.com/live/481c3184bf9225ce24e1d7af115f7f6d.flv
CCTV14,http://ali.hlspull.yximgs.com/live/321e279da409537b6ecfdd582c56eeae.flv
CCTV15,http://ali.hlspull.yximgs.com/live/c079afc8eb115513e7517bab8da2455d.flv
CCTV15,http://ali.hlspull.yximgs.com/live/3422fb8097e5b9649343f2e352487982.flv
CCTV16,http://ali.hlspull.yximgs.com/live/3677b7ba304928059aeae5e368fe786e.flv
CCTV16,http://ali.hlspull.yximgs.com/live/f7659c44edca6b7381f1f94f234147ef.flv
CCTV17,http://ali.hlspull.yximgs.com/live/7d16689f67fce332afaa2d0d20304d90.flv
CCTV17,http://ali.hlspull.yximgs.com/live/4468089d259ee04ecc1f5a3c52e22f3f.flv
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,http://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,http://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
卫视频道,#genre#
北京卫视,http://ali.hlspull.yximgs.com/live/45667d1a245a677edd36eabab9bfd077.flv
湖南卫视,http://ali.hlspull.yximgs.com/live/70560a689d8f8152e38ec8425878456d.flv
浙江卫视,http://ali.hlspull.yximgs.com/live/faceb697027ad3d369c78563b13ee6ec.flv
江苏卫视,http://ali.hlspull.yximgs.com/live/16a53e96d217b052a37c86eb86efebc5.flv
广东卫视,http://ali.hlspull.yximgs.com/live/d31643fd0c2b7e99bc4a8cbee18b0797.flv
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv
东方卫视,http://ali.hlspull.yximgs.com/live/9989971427a372832a6e0803e8b63ec5.flv
东南卫视,http://ali.hlspull.yximgs.com/live/38496a2117f2ea6816dc18b97fe5ac7e.flv
辽宁卫视,http://ali.hlspull.yximgs.com/live/a9e5e56804889b19593638f47a1f6e5c.flv
深圳卫视,http://ali.hlspull.yximgs.com/live/13b7f14e270e697b51e5e3a08453b86c.flv
天津卫视,http://ali.hlspull.yximgs.com/live/505627759e046ab4df998ec5de155a43.flv
安徽卫视,http://ali.hlspull.yximgs.com/live/589aebcfcfdd2f0488e665e9658c42dc.flv
河北卫视,http://ali.hlspull.yximgs.com/live/cefa1a0c89a18ec808439f8382ccd5e8.flv
重庆卫视,http://ali.hlspull.yximgs.com/live/bc813a4bb09cde8e7e64c8a3bdd1c827.flv
吉林卫视,http://ali.hlspull.yximgs.com/live/b0b5af38b60570c5a91acd27dcb47588.flv
黑龙江卫视,http://ali.hlspull.yximgs.com/live/ced23e32fb1eb8628b6aa2ec6aff18ff.flv
山东卫视,http://ali.hlspull.yximgs.com/live/94bc06cba84b8353e479dfc35971f4cc.flv
海南卫视,http://ali.hlspull.yximgs.com/live/a7e7fa36e13eafcfb511f4d99eb0d582.flv
贵州卫视,http://ali.hlspull.yximgs.com/live/4462599e9d9a983d792963474b549ff5.flv
湖北卫视,http://ali.hlspull.yximgs.com/live/c0d1422d49daba857257622d1d3ce8a2.flv
河南卫视,http://ali.hlspull.yximgs.com/live/36c2a1eccf9d289b51821ddc1521e8ed.flv
广西卫视,http://ali.hlspull.yximgs.com/live/67ea891e05af5d572d59dfeae4b20d1f.flv
江西卫视,http://ali.hlspull.yximgs.com/live/d5304915ab17f11b44dbad2d7c459b27.flv
陕西卫视,http://ali.hlspull.yximgs.com/live/cadb6d36b3ebcff957f017ffc03960e6.flv
宁夏卫视,http://ali.hlspull.yximgs.com/live/cb7a2d1bd74b82f673989425bef94c76.flv
内蒙古卫视,http://ali.hlspull.yximgs.com/live/574dc77c822a92f655c941087c2a6c2d.flv
四川卫视,http://ali.hlspull.yximgs.com/live/9594c6bcd2f09c16d96ad2be2f943f05.flv
山西卫视,http://ali.hlspull.yximgs.com/live/92a9c1bc1df66ca9321cc43347316674.flv
甘肃卫视,http://ali.hlspull.yximgs.com/live/98e2bdd30875804f8175ea65bf60b71a.flv
新疆卫视,http://ali.hlspull.yximgs.com/live/f16f1f876de7a00a804293dc464fda18.flv
青海卫视,http://ali.hlspull.yximgs.com/live/a33a45c29aa37e921efc71b451806437.flv
少儿频道,#genre#
CCTV少儿,http://ali.hlspull.yximgs.com/live/321e279da409537b6ecfdd582c56eeae.flv
CETV1,http://ali.hlspull.yximgs.com/live/917a63cecab9a853b5fe76cf5ea69e30.flv
