广东移动,#genre#
CCTV1,http://120.238.94.82:9901/tsfile/live/1026_1.m3u8?key=txiptv

CCTV2,http://120.238.94.82:9901/tsfile/live/1027_1.m3u8?key=txiptv

CCTV3,http://120.238.94.82:9901/tsfile/live/1028_1.m3u8?key=txiptv

CCTV4,http://120.238.94.82:9901/tsfile/live/1029_1.m3u8?key=txiptv

CCTV5,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8?key=txiptv

CCTV5+,http://120.238.94.82:9901/tsfile/live/1031_1.m3u8?key=txiptv

CCTV6,http://120.238.94.82:9901/tsfile/live/1032_1.m3u8?key=txiptv

CCTV7,http://120.238.94.82:9901/tsfile/live/1033_1.m3u8?key=txiptv

CCTV8,http://120.238.94.82:9901/tsfile/live/1034_1.m3u8?key=txiptv

CCTV9,http://120.238.94.82:9901/tsfile/live/1035_1.m3u8?key=txiptv

CCTV10,http://120.238.94.82:9901/tsfile/live/1036_1.m3u8?key=txiptv

CCTV11,http://120.238.94.82:9901/tsfile/live/1037_1.m3u8?key=txiptv

CCTV12,http://120.238.94.82:9901/tsfile/live/1038_1.m3u8?key=txiptv

CCTV13,http://120.238.94.82:9901/tsfile/live/1039_1.m3u8?key=txiptv

CCTV14,http://120.238.94.82:9901/tsfile/live/1040_1.m3u8?key=txiptv

CCTV15,http://120.238.94.82:9901/tsfile/live/1041_1.m3u8?key=txiptv

CCTV17,http://120.238.94.82:9901/tsfile/live/1042_1.m3u8?key=txiptv

CETV1,http://120.238.94.82:9901/tsfile/live/1082_1.m3u8?key=txiptv

TVB频道,http://120.238.94.82:9901/tsfile/live/1005_1.m3u8?key=txiptv

翡翠台,http://120.238.94.82:9901/tsfile/live/1007_1.m3u8?key=txiptv

明珠台,http://120.238.94.82:9901/tsfile/live/1008_1.m3u8?key=txiptv

凤凰卫视,http://120.238.94.82:9901/tsfile/live/1062_1.m3u8?key=txiptv

广东卫视,http://120.238.94.82:9901/tsfile/live/1009_1.m3u8?key=txiptv

五华1,http://120.238.94.82:9901/tsfile/live/1000_1.m3u8?key=txiptv

梅州1,http://120.238.94.82:9901/tsfile/live/1002_1.m3u8?key=txiptv

梅州2,http://120.238.94.82:9901/tsfile/live/1003_1.m3u8?key=txiptv

梅州影视,http://120.238.94.82:9901/tsfile/live/1004_1.m3u8?key=txiptv

梅州影视,http://120.238.94.82:9901/tsfile/live/1006_1.m3u8?key=txiptv

广东珠江,http://120.238.94.82:9901/tsfile/live/1010_1.m3u8?key=txiptv

广东公共,http://120.238.94.82:9901/tsfile/live/1011_1.m3u8?key=txiptv

广东体育,http://120.238.94.82:9901/tsfile/live/1012_1.m3u8?key=txiptv

广东新闻,http://120.238.94.82:9901/tsfile/live/1013_1.m3u8?key=txiptv

经济科教,http://120.238.94.82:9901/tsfile/live/1014_1.m3u8?key=txiptv

广东影视,http://120.238.94.82:9901/tsfile/live/1016_1.m3u8?key=txiptv

广东少儿,http://120.238.94.82:9901/tsfile/live/1017_1.m3u8?key=txiptv

蕉岭综合,http://120.238.94.82:9901/tsfile/live/1020_1.m3u8?key=txiptv

丰顺综合,http://120.238.94.82:9901/tsfile/live/1025_1.m3u8?key=txiptv

CCTN,http://120.238.94.82:9901/tsfile/live/1043_1.m3u8?key=txiptv

梅州导视,http://120.238.94.82:9901/tsfile/live/1047_1.m3u8?key=txiptv

梅州导视,http://120.238.94.82:9901/tsfile/live/1048_1.m3u8?key=txiptv

珠江电影,http://120.238.94.82:9901/tsfile/live/1049_1.m3u8?key=txiptv

CHC家庭影院,http://120.238.94.82:9901/tsfile/live/1051_1.m3u8?key=txiptv

CHC动作电影,http://120.238.94.82:9901/tsfile/live/1052_1.m3u8?key=txiptv

CHC影迷电影,http://120.238.94.82:9901/tsfile/live/1053_1.m3u8?key=txiptv

金鹰卡通,http://120.238.94.82:9901/tsfile/live/1061_1.m3u8?key=txiptv

劲爆体育,http://120.238.94.82:9901/tsfile/live/1086_1.m3u8?key=txiptv

梅州影视,http://120.238.94.82:9901/tsfile/live/1090_1.m3u8?key=txiptv

岭南戏曲,http://120.238.94.82:9901/tsfile/live/1091_1.m3u8?key=txiptv

嘉佳卡通,http://120.238.94.82:9901/tsfile/live/1097_1.m3u8?key=txiptv

中国天气,http://120.238.94.82:9901/tsfile/live/1099_1.m3u8?key=txiptv

南方卫视,http://120.238.94.82:9901/tsfile/live/1015_1.m3u8?key=txiptv

天津卫视,http://120.238.94.82:9901/tsfile/live/1064_1.m3u8?key=txiptv

深圳卫视,http://120.238.94.82:9901/tsfile/live/1065_1.m3u8?key=txiptv

安徽卫视,http://120.238.94.82:9901/tsfile/live/1066_1.m3u8?key=txiptv

山东卫视,http://120.238.94.82:9901/tsfile/live/1067_1.m3u8?key=txiptv

北京卫视,http://120.238.94.82:9901/tsfile/live/1068_1.m3u8?key=txiptv

江西卫视,http://120.238.94.82:9901/tsfile/live/1069_1.m3u8?key=txiptv

江苏卫视,http://120.238.94.82:9901/tsfile/live/1070_1.m3u8?key=txiptv

浙江卫视,http://120.238.94.82:9901/tsfile/live/1071_1.m3u8?key=txiptv

湖南卫视,http://120.238.94.82:9901/tsfile/live/1072_1.m3u8?key=txiptv

四川卫视,http://120.238.94.82:9901/tsfile/live/1073_1.m3u8?key=txiptv

河北卫视,http://120.238.94.82:9901/tsfile/live/1074_1.m3u8?key=txiptv

黑龙江卫视,http://120.238.94.82:9901/tsfile/live/1075_1.m3u8?key=txiptv

湖北卫视,http://120.238.94.82:9901/tsfile/live/1076_1.m3u8?key=txiptv

辽宁卫视,http://120.238.94.82:9901/tsfile/live/1077_1.m3u8?key=txiptv

重庆卫视,http://120.238.94.82:9901/tsfile/live/1078_1.m3u8?key=txiptv

东南卫视,http://120.238.94.82:9901/tsfile/live/1079_1.m3u8?key=txiptv

河南卫视,http://120.238.94.82:9901/tsfile/live/1080_1.m3u8?key=txiptv

贵州卫视,http://120.238.94.82:9901/tsfile/live/1081_1.m3u8?key=txiptv

西藏卫视,http://120.238.94.82:9901/tsfile/live/1092_1.m3u8?key=txiptv

新疆卫视,http://120.238.94.82:9901/tsfile/live/1093_1.m3u8?key=txiptv

兵团卫视,http://120.238.94.82:9901/tsfile/live/1094_1.m3u8?key=txiptv

海江卫视,http://120.238.94.82:9901/tsfile/live/1095_1.m3u8?key=txiptv

宁夏卫视,http://120.238.94.82:9901/tsfile/live/1096_1.m3u8?key=txiptv

东方卫视,http://120.238.94.82:9901/tsfile/live/1098_1.m3u8?key=txiptv

0319 的源,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
中天新闻,http://122.117.109.23:8595/http/61.67.128.137:8081/hls/78/80/ch63max.m3u8
中天新闻,http://tlive24.uk/livehttpplay?channel_id=20163
有线新闻,http://live4play.uk/livehttpplay?channel_id=20191
无线新闻,http://vallest.uk/livehttpplay?channel_id=20123
Now新闻,http://live4play.uk/livehttpplay?channel_id=20041
Now爆谷,http://hkenlive.uk/livehttpplay?channel_id=13002
Now星影,http://hkenlive.uk/livehttpplay?channel_id=13003
TVBJ1综合高,http://cdn5.1678520.xyz/live/?id=j1
RTHK-31,http://vallest.uk/livehttpplay?channel_id=30066
RTHK-32,http://vallest.uk/livehttpplay?channel_id=30067
天映电影,http://live4play.uk/livehttpplay?channel_id=10130
黄金翡翠,http://hkenlive.uk/livehttpplay?channel_id=13027
无线翡翠,http://vallest.uk/livehttpplay?channel_id=30025
无线娱乐,http://hkenlive.uk/livehttpplay?channel_id=13006
无线戏曲,http://hkenlive.uk/livehttpplay?channel_id=13026
无线粤片,http://hkenlive.uk/livehttpplay?channel_id=13021
无线经典,http://hkenlive.uk/livehttpplay?channel_id=13024
